"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2026 09:15:00 - 03/01/2026 09:30:00","BZN|NL","Without Sequence","95.63","",""
"03/01/2026 09:30:00 - 03/01/2026 09:45:00","BZN|NL","Without Sequence","94.34","",""
"03/01/2026 09:45:00 - 03/01/2026 10:00:00","BZN|NL","Without Sequence","91.04","",""
"03/01/2026 10:00:00 - 03/01/2026 10:15:00","BZN|NL","Without Sequence","98.94","",""
"03/01/2026 10:15:00 - 03/01/2026 10:30:00","BZN|NL","Without Sequence","95.00","",""
"03/01/2026 10:30:00 - 03/01/2026 10:45:00","BZN|NL","Without Sequence","91.45","",""
"03/01/2026 10:45:00 - 03/01/2026 11:00:00","BZN|NL","Without Sequence","87.85","",""
"03/01/2026 11:00:00 - 03/01/2026 11:15:00","BZN|NL","Without Sequence","91.95","",""
"03/01/2026 11:15:00 - 03/01/2026 11:30:00","BZN|NL","Without Sequence","89.00","",""
"03/01/2026 11:30:00 - 03/01/2026 11:45:00","BZN|NL","Without Sequence","87.85","",""
"03/01/2026 11:45:00 - 03/01/2026 12:00:00","BZN|NL","Without Sequence","86.03","",""
"03/01/2026 12:00:00 - 03/01/2026 12:15:00","BZN|NL","Without Sequence","87.85","",""
"03/01/2026 12:15:00 - 03/01/2026 12:30:00","BZN|NL","Without Sequence","87.06","",""
"03/01/2026 12:30:00 - 03/01/2026 12:45:00","BZN|NL","Without Sequence","87.16","",""
"03/01/2026 12:45:00 - 03/01/2026 13:00:00","BZN|NL","Without Sequence","87.58","",""
"03/01/2026 13:00:00 - 03/01/2026 13:15:00","BZN|NL","Without Sequence","85.85","",""
"03/01/2026 13:15:00 - 03/01/2026 13:30:00","BZN|NL","Without Sequence","85.55","",""
"03/01/2026 13:30:00 - 03/01/2026 13:45:00","BZN|NL","Without Sequence","86.03","",""
"03/01/2026 13:45:00 - 03/01/2026 14:00:00","BZN|NL","Without Sequence","88.99","",""
"03/01/2026 14:00:00 - 03/01/2026 14:15:00","BZN|NL","Without Sequence","85.11","",""
"03/01/2026 14:15:00 - 03/01/2026 14:30:00","BZN|NL","Without Sequence","88.15","",""
"03/01/2026 14:30:00 - 03/01/2026 14:45:00","BZN|NL","Without Sequence","90.70","",""
"03/01/2026 14:45:00 - 03/01/2026 15:00:00","BZN|NL","Without Sequence","94.77","",""
"03/01/2026 15:00:00 - 03/01/2026 15:15:00","BZN|NL","Without Sequence","90.00","",""
"03/01/2026 15:15:00 - 03/01/2026 15:30:00","BZN|NL","Without Sequence","94.00","",""
"03/01/2026 15:30:00 - 03/01/2026 15:45:00","BZN|NL","Without Sequence","96.50","",""
"03/01/2026 15:45:00 - 03/01/2026 16:00:00","BZN|NL","Without Sequence","97.33","",""
"03/01/2026 16:00:00 - 03/01/2026 16:15:00","BZN|NL","Without Sequence","94.16","",""
"03/01/2026 16:15:00 - 03/01/2026 16:30:00","BZN|NL","Without Sequence","98.49","",""
"03/01/2026 16:30:00 - 03/01/2026 16:45:00","BZN|NL","Without Sequence","100.32","",""
"03/01/2026 16:45:00 - 03/01/2026 17:00:00","BZN|NL","Without Sequence","104.20","",""
"03/01/2026 17:00:00 - 03/01/2026 17:15:00","BZN|NL","Without Sequence","105.35","",""
"03/01/2026 17:15:00 - 03/01/2026 17:30:00","BZN|NL","Without Sequence","109.98","",""
"03/01/2026 17:30:00 - 03/01/2026 17:45:00","BZN|NL","Without Sequence","111.01","",""
"03/01/2026 17:45:00 - 03/01/2026 18:00:00","BZN|NL","Without Sequence","111.91","",""
"03/01/2026 18:00:00 - 03/01/2026 18:15:00","BZN|NL","Without Sequence","112.72","",""
"03/01/2026 18:15:00 - 03/01/2026 18:30:00","BZN|NL","Without Sequence","110.91","",""
"03/01/2026 18:30:00 - 03/01/2026 18:45:00","BZN|NL","Without Sequence","109.67","",""
"03/01/2026 18:45:00 - 03/01/2026 19:00:00","BZN|NL","Without Sequence","109.41","",""
"03/01/2026 19:00:00 - 03/01/2026 19:15:00","BZN|NL","Without Sequence","110.96","",""
"03/01/2026 19:15:00 - 03/01/2026 19:30:00","BZN|NL","Without Sequence","105.34","",""
